param,smape
"(350, 0.1, 10, 0.0, 1)",12.76136656
"(350, 0.1, 10, 0.2, 1)",12.76153924
"(350, 0.1, 10, 0.2, 3)",12.76686221
"(350, 0.2, 6, 0.0, 3)",12.76768693
"(350, 0.2, 6, 0.1, 3)",12.76768693
"(350, 0.2, 6, 0.2, 3)",12.76768693
"(350, 0.2, 6, 0.1, 5)",12.76785737
"(350, 0.2, 6, 0.0, 5)",12.76785737
"(350, 0.2, 6, 0.2, 5)",12.76785737
"(350, 0.1, 10, 0.2, 5)",12.76813833
"(350, 0.1, 10, 0.1, 5)",12.76880777
"(350, 0.2, 6, 0.1, 1)",12.76916819
"(350, 0.05, 10, 0.1, 3)",12.76924132
"(350, 0.1, 10, 0.0, 5)",12.76980556
"(350, 0.05, 10, 0.2, 3)",12.77325609
"(350, 0.2, 6, 0.0, 1)",12.77339167
"(350, 0.05, 10, 0.0, 3)",12.77539696
"(350, 0.05, 10, 0.0, 1)",12.77623018
"(350, 0.05, 10, 0.2, 1)",12.77694387
"(350, 0.1, 10, 0.1, 1)",12.777102
"(350, 0.2, 6, 0.2, 1)",12.77806343
"(350, 0.05, 10, 0.0, 5)",12.77854219
"(350, 0.05, 10, 0.1, 1)",12.77938263
"(350, 0.05, 10, 0.2, 5)",12.7805413
"(350, 0.1, 10, 0.0, 3)",12.78112621
"(350, 0.1, 10, 0.1, 3)",12.78341713
"(350, 0.05, 10, 0.1, 5)",12.7861343
"(250, 0.1, 10, 0.2, 3)",12.78637124
"(250, 0.1, 10, 0.2, 5)",12.78910366
"(250, 0.1, 10, 0.0, 3)",12.79131065
"(250, 0.1, 10, 0.0, 1)",12.79203949
"(250, 0.1, 10, 0.1, 1)",12.79342388
"(250, 0.1, 10, 0.1, 3)",12.79346525
"(250, 0.1, 10, 0.1, 5)",12.79623846
"(250, 0.1, 10, 0.0, 5)",12.79807839
"(250, 0.1, 10, 0.2, 1)",12.80008829
"(350, 0.05, 12, 0.1, 3)",12.80848186
"(350, 0.05, 12, 0.2, 1)",12.80954133
"(350, 0.05, 12, 0.2, 3)",12.81111267
"(350, 0.05, 12, 0.0, 5)",12.81281011
"(250, 0.05, 10, 0.0, 5)",12.81391197
"(350, 0.05, 12, 0.0, 3)",12.81403197
"(250, 0.2, 6, 0.1, 1)",12.81675617
"(250, 0.2, 6, 0.2, 1)",12.81675622
"(250, 0.2, 6, 0.0, 1)",12.81675635
"(350, 0.05, 12, 0.1, 5)",12.81691986
"(350, 0.05, 12, 0.2, 5)",12.81697531
"(250, 0.05, 10, 0.2, 5)",12.81707172
"(250, 0.2, 6, 0.0, 3)",12.81872093
"(250, 0.2, 6, 0.1, 3)",12.81872093
"(250, 0.2, 6, 0.2, 3)",12.81872093
"(250, 0.05, 10, 0.2, 3)",12.81952591
"(250, 0.05, 10, 0.0, 1)",12.82161012
"(250, 0.05, 10, 0.1, 3)",12.82292435
"(250, 0.05, 10, 0.0, 3)",12.82348044
"(250, 0.05, 10, 0.1, 5)",12.82395513
"(250, 0.05, 10, 0.2, 1)",12.82414886
"(250, 0.05, 10, 0.1, 1)",12.82423423
"(250, 0.2, 6, 0.0, 5)",12.82642397
"(250, 0.2, 6, 0.1, 5)",12.82642397
"(250, 0.2, 6, 0.2, 5)",12.82642397
"(350, 0.05, 12, 0.1, 1)",12.82740946
"(350, 0.05, 12, 0.0, 1)",12.82791439
