param,aic
"[(2, 1, 3), (3, 0, 1, 7)]",13022.916943755466
"[(3, 1, 3), (1, 0, 3, 7)]",13023.438977368984
"[(3, 1, 3), (2, 0, 2, 7)]",13024.743650429524
"[(3, 1, 3), (1, 0, 1, 7)]",13025.675104187838
"[(3, 1, 3), (1, 0, 2, 7)]",13025.842554325498
"[(2, 1, 3), (1, 0, 3, 7)]",13026.53717617748
"[(2, 1, 3), (1, 0, 1, 7)]",13026.72396404168
"[(3, 1, 3), (3, 0, 1, 7)]",13027.716171740012
"[(1, 1, 3), (3, 0, 1, 7)]",13028.74281230754
"[(2, 1, 3), (1, 0, 2, 7)]",13032.20679156985
"[(2, 1, 3), (2, 0, 1, 7)]",13032.281681964974
"[(3, 1, 3), (3, 0, 2, 7)]",13032.476950022185
"[(3, 1, 3), (2, 0, 3, 7)]",13033.806472732314
"[(1, 1, 3), (2, 0, 1, 7)]",13034.37801531547
"[(2, 1, 3), (3, 0, 3, 7)]",13035.113386535704
"[(3, 1, 3), (3, 0, 3, 7)]",13038.392472581876
"[(3, 1, 1), (3, 0, 1, 7)]",13039.544632579229
"[(3, 1, 1), (1, 0, 3, 7)]",13043.40228176357
"[(1, 1, 3), (1, 0, 1, 7)]",13045.326327980005
"[(3, 1, 1), (2, 0, 1, 7)]",13049.2839313058
"[(3, 1, 1), (1, 0, 2, 7)]",13050.647838098663
"[(1, 1, 3), (1, 0, 3, 7)]",13050.765390501088
"[(3, 1, 1), (1, 0, 1, 7)]",13053.148798392243
"[(1, 1, 3), (2, 0, 2, 7)]",13053.30999724489
"[(2, 1, 1), (1, 0, 3, 7)]",13053.472023259927
"[(1, 1, 3), (2, 0, 3, 7)]",13055.79254469888
"[(2, 1, 1), (3, 0, 1, 7)]",13056.950738205454
"[(0, 1, 2), (3, 0, 1, 7)]",13057.025494306366
"[(0, 1, 3), (3, 0, 1, 7)]",13057.375058521664
"[(1, 1, 1), (1, 0, 1, 7)]",13057.432787429287
"[(0, 1, 2), (1, 0, 3, 7)]",13057.486903233606
"[(0, 1, 2), (1, 0, 1, 7)]",13057.609848124532
"[(2, 1, 1), (1, 0, 1, 7)]",13058.121521765177
"[(0, 1, 1), (1, 0, 1, 7)]",13058.379336238495
"[(1, 1, 1), (3, 0, 3, 7)]",13058.57790837226
"[(0, 1, 1), (1, 0, 3, 7)]",13058.593814572607
"[(0, 1, 3), (1, 0, 1, 7)]",13058.619002646217
"[(0, 1, 2), (3, 0, 3, 7)]",13058.668707373594
"[(3, 1, 2), (2, 0, 2, 7)]",13058.847986551058
"[(3, 1, 1), (2, 0, 3, 7)]",13058.955075719012
"[(0, 1, 1), (3, 0, 3, 7)]",13059.097980343933
"[(1, 1, 1), (2, 0, 1, 7)]",13059.138364786988
"[(0, 1, 2), (2, 0, 1, 7)]",13059.30083215778
"[(0, 1, 2), (1, 0, 2, 7)]",13059.356569538388
"[(2, 1, 1), (2, 0, 1, 7)]",13059.44502025042
"[(2, 1, 1), (3, 0, 3, 7)]",13059.705516374528
"[(3, 1, 1), (3, 0, 3, 7)]",13059.758835551855
"[(0, 1, 3), (3, 0, 3, 7)]",13060.001116310374
"[(0, 1, 3), (2, 0, 1, 7)]",13060.032873833374
"[(2, 1, 1), (1, 0, 2, 7)]",13060.129886175613
"[(0, 1, 1), (2, 0, 1, 7)]",13060.36791515598
"[(3, 1, 1), (2, 0, 2, 7)]",13060.41479271408
"[(0, 1, 3), (1, 0, 2, 7)]",13060.546349707409
"[(1, 1, 1), (2, 0, 2, 7)]",13060.68346801307
"[(0, 1, 1), (1, 0, 2, 7)]",13060.72861177411
"[(0, 1, 2), (2, 0, 2, 7)]",13060.946834539965
"[(2, 1, 1), (2, 0, 2, 7)]",13061.372412503984
"[(0, 1, 1), (2, 0, 2, 7)]",13061.444123311958
"[(0, 1, 3), (2, 0, 2, 7)]",13061.822817383934
"[(1, 1, 3), (3, 0, 3, 7)]",13062.025490976679
"[(1, 1, 2), (1, 0, 1, 7)]",13062.3792825495
"[(2, 1, 2), (1, 0, 1, 7)]",13062.433430525958
"[(1, 1, 2), (3, 0, 1, 7)]",13062.463499741993
"[(1, 1, 2), (1, 0, 3, 7)]",13062.512186799036
"[(1, 1, 1), (3, 0, 2, 7)]",13062.573494960778
"[(1, 1, 1), (2, 0, 3, 7)]",13062.574669813708
"[(1, 1, 2), (3, 0, 3, 7)]",13062.657292943266
"[(0, 1, 2), (3, 0, 2, 7)]",13062.755729604978
"[(0, 1, 2), (2, 0, 3, 7)]",13062.778008446981
"[(2, 1, 1), (3, 0, 2, 7)]",13062.815575776876
"[(2, 1, 1), (2, 0, 3, 7)]",13062.852331382035
"[(3, 1, 2), (3, 0, 3, 7)]",13063.020042383647
"[(0, 1, 3), (2, 0, 3, 7)]",13063.419519763933
"[(0, 1, 3), (3, 0, 2, 7)]",13063.433842864555
"[(0, 1, 1), (2, 0, 3, 7)]",13063.791355072282
"[(2, 1, 2), (3, 0, 3, 7)]",13063.795424014927
"[(0, 1, 1), (3, 0, 2, 7)]",13063.834051452615
"[(1, 1, 3), (3, 0, 2, 7)]",13064.043313962713
"[(1, 1, 2), (2, 0, 1, 7)]",13064.336943637798
"[(1, 1, 2), (1, 0, 2, 7)]",13064.351549705152
"[(2, 1, 2), (2, 0, 2, 7)]",13064.728220967283
"[(0, 1, 3), (1, 0, 3, 7)]",13065.315772356591
"[(1, 1, 2), (2, 0, 2, 7)]",13065.475603416315
"[(2, 1, 2), (3, 0, 2, 7)]",13066.039113248113
"[(2, 1, 2), (2, 0, 3, 7)]",13066.298606671699
"[(1, 1, 2), (2, 0, 3, 7)]",13067.793235195431
"[(1, 1, 2), (3, 0, 2, 7)]",13067.805275815159
"[(3, 1, 2), (2, 0, 1, 7)]",13068.617352144922
"[(3, 1, 2), (3, 0, 2, 7)]",13070.173631341102
"[(1, 1, 1), (3, 0, 1, 7)]",13071.00054458933
"[(3, 1, 2), (1, 0, 2, 7)]",13071.18703967527
"[(3, 1, 2), (2, 0, 3, 7)]",13071.436374318173
"[(3, 1, 2), (1, 0, 1, 7)]",13073.494919933259
"[(1, 1, 1), (1, 0, 3, 7)]",13075.700031363667
"[(3, 1, 2), (3, 0, 1, 7)]",13076.267361495498
"[(3, 1, 2), (1, 0, 3, 7)]",13079.476463857969
