param,aic
"[(0, 1, 1), (3, 0, 1, 7)]",13084.276832541975
"[(0, 1, 1), (1, 0, 3, 7)]",13084.677910734492
"[(0, 1, 2), (3, 0, 1, 7)]",13085.955332628308
"[(1, 1, 1), (3, 0, 1, 7)]",13085.958135839175
"[(0, 1, 2), (1, 0, 3, 7)]",13086.399914144207
"[(1, 1, 1), (1, 0, 3, 7)]",13086.441968454126
"[(2, 1, 1), (3, 0, 1, 7)]",13087.933694056119
"[(0, 1, 3), (3, 0, 1, 7)]",13087.934744981714
"[(1, 1, 2), (3, 0, 1, 7)]",13088.0782442186
"[(2, 1, 1), (1, 0, 3, 7)]",13088.376094222152
"[(0, 1, 3), (1, 0, 3, 7)]",13088.399547614797
"[(0, 1, 1), (1, 0, 1, 7)]",13088.413885315724
"[(1, 1, 2), (1, 0, 3, 7)]",13088.54423864968
"[(0, 1, 1), (3, 0, 3, 7)]",13089.071931695315
"[(2, 1, 2), (3, 0, 1, 7)]",13089.663205561363
"[(3, 1, 1), (3, 0, 1, 7)]",13089.945682845351
"[(1, 1, 3), (3, 0, 1, 7)]",13089.951276794636
"[(2, 1, 2), (1, 0, 3, 7)]",13090.265370520432
"[(0, 1, 2), (1, 0, 1, 7)]",13090.280865733608
"[(1, 1, 1), (1, 0, 1, 7)]",13090.283571298001
"[(0, 1, 1), (2, 0, 1, 7)]",13090.285457342077
"[(0, 1, 1), (1, 0, 2, 7)]",13090.301126577242
"[(3, 1, 1), (1, 0, 3, 7)]",13090.391422004615
"[(1, 1, 3), (1, 0, 3, 7)]",13090.391453854638
"[(0, 1, 2), (3, 0, 3, 7)]",13090.984902062455
"[(1, 1, 1), (3, 0, 3, 7)]",13091.08719671227
"[(2, 1, 3), (3, 0, 1, 7)]",13091.331227113931
"[(0, 1, 1), (2, 0, 2, 7)]",13091.508883614635
"[(2, 1, 3), (1, 0, 3, 7)]",13091.83753521282
"[(3, 1, 2), (3, 0, 1, 7)]",13091.938064378157
"[(0, 1, 2), (2, 0, 1, 7)]",13092.095082248677
"[(1, 1, 1), (2, 0, 1, 7)]",13092.098362493418
"[(0, 1, 2), (1, 0, 2, 7)]",13092.118538762441
"[(1, 1, 1), (1, 0, 2, 7)]",13092.121787236183
"[(2, 1, 1), (1, 0, 1, 7)]",13092.14787318644
"[(0, 1, 3), (1, 0, 1, 7)]",13092.153744219982
"[(1, 1, 2), (1, 0, 1, 7)]",13092.36337085662
"[(2, 1, 1), (3, 0, 3, 7)]",13092.670365285048
"[(3, 1, 2), (1, 0, 3, 7)]",13092.67438547884
"[(1, 1, 2), (3, 0, 3, 7)]",13092.680068828453
"[(0, 1, 3), (3, 0, 3, 7)]",13092.712734709738
"[(1, 1, 1), (2, 0, 2, 7)]",13093.398711363165
"[(0, 1, 2), (2, 0, 2, 7)]",13093.406053078477
"[(3, 1, 3), (1, 0, 3, 7)]",13093.707427486923
"[(0, 1, 1), (3, 0, 2, 7)]",13093.878624547833
"[(0, 1, 1), (2, 0, 3, 7)]",13093.909996200557
"[(3, 1, 3), (3, 0, 1, 7)]",13093.949665848078
"[(2, 1, 1), (2, 0, 1, 7)]",13094.00163841947
"[(0, 1, 3), (2, 0, 1, 7)]",13094.00664536607
"[(2, 1, 1), (1, 0, 2, 7)]",13094.020345673787
"[(0, 1, 3), (1, 0, 2, 7)]",13094.025505622805
"[(3, 1, 1), (1, 0, 1, 7)]",13094.085512592534
"[(1, 1, 3), (1, 0, 1, 7)]",13094.165877428275
"[(2, 1, 2), (1, 0, 1, 7)]",13094.227451615403
"[(1, 1, 2), (2, 0, 1, 7)]",13094.276134420139
"[(1, 1, 2), (1, 0, 2, 7)]",13094.28110157083
"[(3, 1, 1), (3, 0, 3, 7)]",13094.590535085505
"[(1, 1, 3), (3, 0, 3, 7)]",13094.673876356148
"[(2, 1, 2), (3, 0, 3, 7)]",13094.857858719428
"[(2, 1, 3), (1, 0, 1, 7)]",13095.497462125883
"[(0, 1, 2), (2, 0, 3, 7)]",13095.66049790908
"[(0, 1, 3), (2, 0, 2, 7)]",13095.663800839162
"[(2, 1, 1), (2, 0, 2, 7)]",13095.67413698265
"[(0, 1, 2), (3, 0, 2, 7)]",13095.695289875524
"[(1, 1, 1), (3, 0, 2, 7)]",13095.702757493547
"[(1, 1, 1), (2, 0, 3, 7)]",13095.72449548079
"[(1, 1, 2), (2, 0, 2, 7)]",13095.958893598092
"[(3, 1, 1), (2, 0, 1, 7)]",13095.964763789703
